Symbol_HGNC	GenePanel
COQ8A	BEWEGING (AR);EPI (AR);METAB (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
COQ8B	METAB (AR);NIER (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
COQ9	BEWEGING (AR);METAB (AR);MR (AR);NIER (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
CORIN	OMIM (UK,AD,AR,XL,YL)
CORO1A	IMMUUN (AR);OMIM (AR);PCS (AR);SCID (AR)
COX10	MR (AR);OMIM (UK,AD,AR,XL,YL);OXPHOS (AR);PCS (AR)
COX14	OMIM (UK,AD,AR,XL,YL);OXPHOS (AR);PCS (AR)
COX15	AKI (AR);HART (AR);MR (AR);OMIM (UK,AD,AR,XL,YL);OXPHOS (AR);PCS (AR)
COX20	BEWEGING (AR);OMIM (UK,AD,AR,XL,YL);OXPHOS (AR);PCS (AR)
COX4I1	OXPHOS (AR)
COX4I2	DERM (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
COX5A	OXPHOS (AR)
COX5B	OXPHOS (AR)
COX6A1	HMSN (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
COX6A2	OMIM (UK,AD,AR,XL,YL);OXPHOS (AR)
COX6B1	MR (AR);OMIM (UK,AD,AR,XL,YL);OXPHOS (AR);PCS (AR)
COX6B2	OXPHOS (AR)
COX6C	OXPHOS (AR)
COX7A1	OXPHOS (AR)
COX7A2	OXPHOS (AR)
COX7B	DERM (XL);OMIM (XLD);OXPHOS (AR)
COX7B2	OXPHOS (AR)
COX7C	OXPHOS (AR)
COX8A	OMIM (UK,AD,AR,XL,YL);OXPHOS (AR);PCS (AR)
COX8C	OXPHOS (AR)
CP	BEWEGING (AR);IJZER (AR);METAB (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
CPA6	EPI (AD);OMIM (AD,AR);PCS (AR)
CPAMD8	OMIM (AR)
CPLANE1	BLIND (AR);CILIO (AR);LENGTE (AR);MR (AR);NIER (AR);OMIM (AR);PCS (AR)
CPLX1	MR (AR);OMIM (AR);PCS (AR)
CPN1	OMIM (AR);PCS (AR)
CPOX	DERM (AD/AR);METAB (AR);OMIM (AD);PCS (AR)
CPS1	EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
CPT1A	HART (AR);METAB (AR);OMIM (AR);PCS (AR)
CPT1C	OMIM (AD)
CPT2	EPI (AR);HART (AR);METAB (AR);OMIM (AD,AR);PCS (AR);SPIER (AR)
CR2	IMMUUN (AR);OMIM (AR);PCS (AR)
CRADD	MR (AR);OMIM (AR);PCS (AR)
CRAT	METAB (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
CRB1	BLIND (AR);OMIM (AD,AR);PCS (AR)
CRB2	NIER (AR);OMIM (AR);PCS (AR)
CRBN	MR (AR);OMIM (AR);PCS (AR)
CREB1	OMIM (UK,AD,AR,XL,YL)
CREB3L1	LENGTE (AR);OMIM (AR);PCS (AR)
CREBBP	IMMUUN (AD);LENGTE (AD);MR (AD);OMIM (AD);TUMOR (AD)
CRELD1	CHD (AD);HART (AD);OMIM (AD)
CRIPT	LENGTE (AR);OMIM (AR);PCS (AR)
CRLF1	MR (AR);OMIM (AR);PCS (AR)
CRP	ANEURYSM (AD)
CRPPA	AKI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR);SPIER (AR)
CRTAP	LENGTE (AR);OMIM (AR);PCS (AR)
CRTC1	OMIM (UK,AD,AR,XL,YL)
CRX	BLIND (AD);OMIM (AD)
CRYAA	BLIND (AD);OMIM (AD,AR);PCS (AR)
CRYAB	BLIND (AR,AD);HART (AD);OMIM (AD,AR);PCS (AR);SPIER (AD)
CRYBA1	BLIND (AD);OMIM (AD)
CRYBA2	BLIND (AD);OMIM (AD)
CRYBA4	BLIND (AD);OMIM (UK,AD,AR,XL,YL)
CRYBB1	BLIND (AD);OMIM (AD,AR);PCS (AR)
CRYBB2	BLIND (AD);OMIM (AD)
CRYBB3	BLIND (AR);OMIM (AD,AR);PCS (AR)
CRYGB	BLIND (AD);OMIM (AD)
CRYGC	BLIND (AD);OMIM (AD)
CRYGD	BLIND (AD);OMIM (AD)
CRYGS	BLIND (AD);OMIM (AD)
CRYM	DOOF (AD);OMIM (AD)
CSF1R	BEWEGING (AD);LENGTE (AR);OMIM (AD,AR);PARK (AD);PCS (AR)
CSF2RA	IMMUUN (XL,AR);OMIM (UK,AD,AR,XL,YL)
CSF2RB	IMMUUN (AR);OMIM (AR);PCS (AR)
CSF3R	BMF (ARAD);IMMUUN (AD,AR);OMIM (AR)
CSGALNACT1	LENGTE (AR)
CSNK1D	OMIM (AD)
CSNK2A1	MR (AD);OMIM (AD)
CSNK2B	MR (AD)
CSPP1	BLIND (AR);CILIO (AR);MR (AR);NIER (AR);OMIM (AR);PCS (AR)
CSRP3	HART (AD/AR);OMIM (AD)
CST3	ANEURYSM (AD);OMIM (AD)
CST6	DERM (AR);OMIM (AR)
CSTA	DERM (AR);OMIM (AR);PCS (AR)
CSTB	BEWEGING (AD,AR);EPI (AR);MR (AR);OMIM (AR);PCS (AR)
CTBP1	MR (AD);OMIM (AD);OXPHOS (AD)
CTC1	BMF (AR);DERM (AR);DKC (AR);IMMUUN (AR);MR (AR);OMIM (AR);PCS (AR);TUMOR (AR)
CTCF	MR (AD);OMIM (AD)
CTDP1	BLIND (AR);HMSN (AR);MR (AR);OMIM (AR);PCS (AR)
CTH	METAB (AR);OMIM (AR)
CTHRC1	OMIM (UK,AD,AR,XL,YL)
CTLA4	BMF (AD);HEMOS (AD);IMMUUN (AD);OMIM (AD)
CTNNA1	BLIND (AD);OMIM (AD);TUMOR (AD)
CTNNA2	MR (AR);OMIM (AR)
CTNNA3	HART (AD);OMIM (AD)
CTNNB1	BLIND (AD);MR (AD);OMIM (AD)
CTNND1	OMIM (AD)
CTNND2	MR (AD)
CTNS	METAB (AR);NIER (AR);OMIM (AR);PCS (AR)
CTPS1	IMMUUN (AR);OMIM (AR);PCS (AR)
CTR9	TUMOR (AD)
CTSA	DERM (AR);LENGTE (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
CTSB	DERM (AD)
CTSC	ANEURYSM (AD);DERM (AR);IMMUUN (AR);METAB (AR);OMIM (AR);PCS (AR)
CTSD	BLIND (AR);EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
CTSF	EPI (AR);OMIM (AR);PCS (AR)
CTSK	CFA (AR);LENGTE (AR);METAB (AR);OMIM (AR);PCS (AR)
CTTNBP2	MR (AD)
CTU2	OMIM (AR)
CUBN	BMF (AR);METAB (AR);NIER (AR);OMIM (AR);PCS (AR)
CUL3	NIER (AD);OMIM (AD)
CUL4B	EPI (XL);MR (XL);OMIM (XLR)
CUL7	LENGTE (AR);OMIM (AR);PCS (AR)
CUX1	MR (AD);OMIM (AD)
CUX2	EPI (AD);MR (AD);OMIM (AD)
CWC27	BLIND (AR);MR (AR);OMIM (AR);PCS (AR)
CWF19L1	MR (AR);OMIM (AR);PCS (AR)
CXCL10	ANEURYSM (AD)
CXCL13	ANEURYSM (AD)
CXCL2	ANEURYSM (AD)
CXCR4	DERM (AD);IMMUUN (AD);OMIM (AD)
CXorf56	MR (XL);OMIM (XL)
CYB561	METAB (AR);OMIM (AR)
CYB5A	DSD (AR);OMIM (AR);PCS (AR)
CYB5R3	METAB (AR);MR (AR);OMIM (AR);PCS (AR)
CYBA	IMMUUN (AR);OMIM (AR);PCS (AR)
CYBB	IMMUUN (XL);OMIM (XLR)
CYBC1	IMMUUN (AR)
CYBRD1	IJZER (AR,AD)
CYC1	OMIM (AR);OXPHOS (AR);PCS (AR)
CYCS	HEMOS (AD);OMIM (AD);OXPHOS (AD)
CYFIP2	MR (AD);OMIM (AD)
CYLD	DERM (AD);OMIM (AD);TUMOR (AD)
CYP11A1	DSD (AR);METAB (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
CYP11B1	DSD (AR);METAB (AR);OMIM (AD,AR);PCS (AR)
CYP11B2	METAB (AR);OMIM (AR);PCS (AR)
CYP17A1	DSD (AR);METAB (AR);OMIM (AR);PCS (AR)
CYP19A1	DSD (AR);METAB (AR);OMIM (AD);PCS (AR)
CYP1B1	BLIND (AR);METAB (AR);OMIM (AR);PCS (AR)
CYP21A2	DSD (AR);METAB (AR);OMIM (AR)
CYP24A1	NIER (AR);OMIM (AR);PCS (AR)
CYP26B1	LENGTE (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
CYP26C1	DERM (AR);OMIM (AR);PCS (AR)
CYP27A1	BEWEGING (AR);HMSN (AR);LEVER (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
CYP27B1	LENGTE (AR);METAB (AR);OMIM (AR);PCS (AR)
CYP2A6	OMIM (AD)
CYP2B6	OMIM (UK,AD,AR,XL,YL)
CYP2C19	OMIM (AR)
CYP2C8	PCS (AR)
CYP2C9	OMIM (AD)
CYP2R1	LENGTE (AR);METAB (AR);OMIM (AR);PCS (AR)
CYP2U1	BEWEGING (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
CYP4F22	DERM (AR);OMIM (AR);PCS (AR)
CYP4V2	BLIND (AR);OMIM (AR);PCS (AR)
CYP7B1	BEWEGING (AR);LEVER (AR);METAB (AR);OMIM (AR);PCS (AR)
D2HGDH	EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
DAB1	OMIM (AD)
DAB2IP	ANEURYSM (AD)
DACT1	OMIM (AD)
DAG1	MR (AR);OMIM (AR);PCS (AR);SPIER (AR)
DAO	METAB (AR)
DARS1	MR (AR);OMIM (AR);PCS (AR)
DARS2	BEWEGING (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
DBH	METAB (AR);OMIM (AR);PCS (AR)
DBT	BEWEGING (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
DCAF17	BEWEGING (AR);DERM (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
DCAF8	HMSN (AD);OMIM (AD)
DCC	BEWEGING (AD);HH (AD);MR (AR);OMIM (AD,AR);PCS (AR)
DCDC2	CILIO (AR);DOOF (AR);LEVER (AR);NIER (AR);OMIM (AR);PCS (AR)
DCHS1	MR (AR);OMIM (AD,AR);PCS (AR)
DCLRE1C	DERM (AR);IMMUUN (AR);OMIM (AR);PCS (AR);SCID (AR)
DCN	BLIND (AD);OMIM (AD)
DCPS	MR (AR);OMIM (AR);PCS (AR)
DCTN1	BEWEGING (AD);HMSN (AD);OMIM (AD);PARK (AD)
DCTN2	HMSN (AD)
DCX	EPI (XL);MR (XL);OMIM (XL)
DCXR	METAB (AR)
DDB2	DERM (AR);OMIM (AR);PCS (AR);TUMOR (AR)
DDC	BEWEGING (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
DDHD1	BEWEGING (AR);BLIND (AR);METAB (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
DDHD2	BEWEGING (AR);MR (AR);OMIM (AR);PCS (AR)
DDOST	METAB (AR);OMIM (AR);PCS (AR)
DDR2	LENGTE (AR);OMIM (AD,AR);PCS (AR)
DDRGK1	LENGTE (AR);OMIM (AR);PCS (AR)
DDX11	MR (AR);OMIM (AR);PCS (AR);TUMOR (AR)
DDX3X	EPI (XL);MR (XL);OMIM (XL)
DDX41	TUMOR (AD)
DDX58	IMMUUN (AD);LENGTE (AR);OMIM (AD)
DDX59	CILIO (AR);MR (AR);OMIM (AR);PCS (AR)
DDX6	MR (AD);OMIM (UK,AD,AR,XL,YL)
DEAF1	MR (AD);OMIM (AD,AR);PCS (AR)
DEGS1	METAB (AR);MR (AR);OMIM (AR)
DENND5A	EPI (AR);MR (AR);OMIM (AR);PCS (AR)
DEPDC5	EPI (AD);MR (AD);OMIM (AD)
DES	HART (AD/AR);OMIM (AD,AR);OXPHOS (AR);PCS (AR);SPIER (AD)
DGAT1	METAB (AR);OMIM (AR)
DGKE	HEMOS (AR);METAB (AR);NIER (AR);OMIM (AR);PCS (AR)
DGUOK	LEVER (AR);METAB (AR);OMIM (AR);OXPHOS (AR);PCS (AR);SPIER (AR)
DHCR24	AKI (AR);LENGTE (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
DHCR7	AKI (AR);DERM (AR);DSD (AR);LEVER (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
DHDDS	BEWEGING (AD);BLIND (AR);EPI (AD);METAB (AR);MR (AD);OMIM (AD,AR);PCS (AR)
DHFR	BMF (AR);IMMUUN (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
DHH	DSD (AR);OMIM (AR);PCS (AR)
DHODH	CFA (AR);LENGTE (AR);METAB (AR);OMIM (AR);PCS (AR)
DHPS	MR (AR);OMIM (AR);PCS (AR)
DHTKD1	HMSN (AD);MR (AD,AR);OMIM (AD,AR);OXPHOS (AR);PCS (AR)
DHX30	MR (AD);OMIM (AD)
DHX38	BLIND (AR);OMIM (AR)
DIABLO	DOOF (AD);OMIM (AD)
DIAPH1	DOOF (AD);HEMOS (AD);MR (AR);OMIM (AD,AR);PCS (AR)
DIAPH2	OMIM (XLD)
DIAPH3	DOOF (AD);OMIM (AD)
DICER1	OMIM (AD);TUMOR (AD)
DIP2B	MR (AD);OMIM (AD)
DIS3L2	MR (AR);OMIM (AR);PCS (AR);TUMOR (AR)
DISP1	CFA (AD)
DKC1	BLIND (XL);BMF (XL);DERM (XL);DKC (XL);IMMUUN (XL);LEVER (XLR);MR (XL);OMIM (XLR);TUMOR (XL)
DLAT	BEWEGING (AR);EPI (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
DLC1	OMIM (UK,AD,AR,XL,YL)
DLD	BEWEGING (AR);METAB (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
DLG3	MR (XL);OMIM (XLR)
DLG4	MR (AD)
DLL3	LENGTE (AR);OMIM (AR);PCS (AR)
DLL4	LENGTE (AD);OMIM (AD)
DLST	OMIM (AD);OXPHOS (AR);TUMOR (AD)
DLX3	CFA (AD);DERM (AD);LENGTE (AD);OMIM (AD)
DLX4	CFA (AD);OMIM (AD)
DLX5	DERM (AR);LENGTE (AD);OMIM (AR);PCS (AR)
DLX6	LENGTE (AD)
DMAC1	OXPHOS (AR)
DMAC2	OXPHOS (AR)
DMAC2L	OXPHOS (AR)
DMD	HART (XL);MR (XL);OMIM (XL);SPIER (XL)
DMGDH	METAB (AR);OMIM (AR);PCS (AR)
DMP1	LENGTE (AR);NIER (AR);OMIM (AR);PCS (AR)
DMPK	MR (AD);OMIM (AD)
DMRT1	DSD (AD)
DMRT2	DSD (AD)
DMXL2	DOOF (AD);OMIM (AD,AR);PCS (AR)
DNA2	LENGTE (AR);OMIM (AD,AR);OXPHOS (AD);PCS (AR);SPIER (AD)
DNAAF1	CILIO (AR);OMIM (AR);PCS (AR)
DNAAF2	CILIO (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
DNAAF3	CILIO (AR);OMIM (AR);PCS (AR)
DNAAF4	CILIO (AR);OMIM (AR);PCS (AR)
DNAAF5	CILIO (AR);OMIM (AR);PCS (AR)
DNAH1	CILIO (AR);OMIM (AR)
DNAH10	HMSN (AD)
DNAH11	CILIO (AR);OMIM (AR);PCS (AR)
DNAH17	CILIO (AR);OMIM (AR)
DNAH5	CILIO (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
DNAH9	OMIM (AR)
DNAI1	CILIO (AR);OMIM (AR);PCS (AR)
DNAI2	CILIO (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
DNAJA3	OXPHOS (AR)
DNAJB11	LEVER (AD);NIER (AD);OMIM (AD)
DNAJB13	CILIO (AR);OMIM (AR)
DNAJB2	HMSN (AR);OMIM (AR);PCS (AR)
DNAJB5	HMSN (AD)
DNAJB6	OMIM (AD);SPIER (AD)
DNAJC12	METAB (AR);MR (AR);OMIM (AR);PCS (AR)
DNAJC19	METAB (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
DNAJC21	BMF (AR);LENGTE (AR);OMIM (AR);PCS (AR);TUMOR (AR)
DNAJC3	BEWEGING (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
DNAJC5	EPI (AD);OMIM (AD)
DNAJC6	OMIM (AR);PARK (AR);PCS (AR)
DNAL1	CILIO (AR);OMIM (AR);PCS (AR)
DNAL4	BEWEGING (AR);OMIM (AR)
DNASE1	HEMOS (AD);IMMUUN (AD)
DNASE1L3	IMMUUN (AR);OMIM (AR);PCS (AR)
DNASE2	IMMUUN (AR)
DNHD1	CILIO (AR)
DNM1	EPI (AD);MR (AD);OMIM (AD)
DNM1L	BEWEGING (AD,AR);BLIND (AD);EPI (AD,AR);METAB (AR);OMIM (AD,AR);OXPHOS (AR);PCS (AR)
DNM2	AKI (AR);HMSN (AD);METAB (AD);OMIM (AD,AR);PCS (AR);SPIER (AD)
DNMBP	OMIM (AR)
DNMT1	BEWEGING (AD);HMSN (AD);METAB (AR);OMIM (AD)
DNMT3A	LENGTE (AD);MR (AD);OMIM (AD)
DNMT3B	IMMUUN (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
DOCK2	IMMUUN (AR);OMIM (AR);PCS (AR);SCID (AR)
DOCK3	MR (AR);OMIM (AR)
DOCK6	DERM (AR);LENGTE (AR);MR (AR);OMIM (AR);PCS (AR)
DOCK7	EPI (AR);MR (AR);OMIM (AR);PCS (AR)
DOCK8	DERM (AR);IMMUUN (AR);OMIM (AR);PCS (AR);SCID (AR)
DOK7	AKI (AR);OMIM (AR);PCS (AR);SPIER (AR)
DOLK	DERM (AR);HART (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
DONSON	LENGTE (AR);MR (AR);OMIM (AR);PCS (AR)
DPAGT1	EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR);SPIER (AR)
DPCD	LENGTE (AD)
DPF2	MR (AD);OMIM (AD)
DPH1	MR (AR);OMIM (AR);PCS (AR)
DPM1	EPI (AR);LENGTE (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR);SPIER (AR)
DPM2	EPI (AR);METAB (AR);OMIM (AR);PCS (AR);SPIER (AR)
DPM3	HART (AR);METAB (AR);OMIM (AR);PCS (AR);SPIER (AR)
DPP6	HART (AD);MR (AD);OMIM (UK,AD,AR,XL,YL)
DPY19L2	OMIM (AR);PCS (AR)
DPYD	EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
DPYS	BEWEGING (AR);EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
DRAM2	BLIND (AR);OMIM (AR);PCS (AR)
DRC1	CILIO (AR);OMIM (AR);PCS (AR)
DRD4	OMIM (UK,AD,AR,XL,YL)
DRP2	HMSN (XL)
DSC2	DERM (AR);HART (AD/AR);OMIM (AD,AR);PCS (AR)
DSC3	DERM (AR);OMIM (AR);PCS (AR)
DSE	DERM (AR);LENGTE (AR);OMIM (AR);PCS (AR)
DSG1	DERM (AD);OMIM (AD,AR)
DSG2	HART (AD);OMIM (AD)
DSG3	DERM (AR)
DSG4	DERM (AR);OMIM (AR);PCS (AR)
DSP	DERM (AD/AR);HART (AD/AR);OMIM (AD,AR);PCS (AR)
DSPP	CFA (AD);DERM (AD);DOOF (AD);OMIM (AD)
DST	DERM (AR);HMSN (AR);OMIM (AR);PCS (AR)
DSTYK	NIER (AD);OMIM (AD,AR);PCS (AR)
DTNA	HART (AD);OMIM (AD)
DTNBP1	BLIND (AR);DERM (AR);HEMOS (AR);OMIM (AR);PCS (AR)
DTYMK	METAB (AR)
DUOX2	OMIM (AR);PCS (AR)
DUOXA2	OMIM (AR);PCS (AR)
DUSP6	DERM (AD);HH (AD);OMIM (AD)
DVL1	LENGTE (AD);OMIM (AD)
DVL3	LENGTE (AD);OMIM (AD)
DYM	LENGTE (AR);MR (AR);OMIM (AR);PCS (AR)
DYNC1H1	EPI (AD);HMSN (AD);MR (AD);OMIM (AD);SPIER (AD)
DYNC1I2	MR (AR);OMIM (AR);PCS (AR)
DYNC2H1	ANEURYSM (AR);CILIO (AR);DSD (AR);LENGTE (AR);NIER (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
DYNC2LI1	CILIO (AR);LENGTE (AR);OMIM (AR);PCS (AR)
DYRK1A	EPI (AD);MR (AD);OMIM (AD)
DYRK1B	OMIM (AD)
DYSF	OMIM (AR);PCS (AR);SPIER (AR)
DZIP1L	NIER (AR);OMIM (AR);PCS (AR)
EARS2	OMIM (AR);OXPHOS (AR);PCS (AR)
EBF3	MR (AD);OMIM (AD)
EBP	DERM (XL);LENGTE (XLD,XLR);METAB (XL);MR (XL);OMIM (XL)
ECE1	ANEURYSM (AD);OMIM (AD)
ECEL1	AKI (AR);OMIM (AR);PCS (AR);SPIER (AR)
ECHS1	BEWEGING (AR);METAB (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
ECM1	DERM (AR);OMIM (AR);PCS (AR)
ECSIT	OXPHOS (AR)
EDA	CFA (XL);DERM (XL);OMIM (XL)
EDAR	CFA (AD,AR);DERM (AD/AR);OMIM (AD,AR);PCS (AR)
EDARADD	CFA (AD,AR);DERM (AD/AR);OMIM (AD,AR);PCS (AR)
EDC3	MR (AD,AR);OMIM (AR);PCS (AR)
EDN1	CFA (AR);LENGTE (AR);OMIM (AD,AR);PCS (AR)
EDN3	DERM (AD/AR);DOOF (AD,AR);OMIM (AD,AR);PCS (AR)
EDNRA	ANEURYSM (AD);CFA (AD);DERM (AD);LENGTE (AD);OMIM (AD)
EDNRB	DERM (AD/AR);DOOF (AD,AR);OMIM (AD,AR);PCS (AR)
EED	MR (AD);OMIM (AD)
EEF1A2	EPI (AD);HART (AR);MR (AD);OMIM (AD)
EEF1AKNMT	OMIM (AD)
EEF2	OMIM (AD)
EFEMP1	BLIND (AD);OMIM (AD)
EFEMP2	ANEURYSM (AR);DERM (AR);HART (AR);OMIM (AR);PCS (AR)
EFHC1	EPI (AD)
EFL1	BMF (AR);LENGTE (AR);OMIM (AR);PCS (AR)
EFNA4	CFA (AD)
EFNB1	CFA (XLD);DERM (XL);LENGTE (XL);OMIM (XLD)
EFNB2	MR (AD)
EFTUD2	CFA (AD);LENGTE (AD);MR (AD);OMIM (AD)
EGF	EPI (AR);NIER (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
EGFR	OMIM (UK,AD,AR,XL,YL);PCS (AR);TUMOR (AD,AR)
EGLN1	OMIM (AD);TUMOR (AD)
EGLN2	TUMOR (AD)
EGR2	AKI (AD,AR);HMSN (AD/AR);OMIM (AD,AR);PCS (AR)
EHHADH	NIER (AD);OMIM (AD);OXPHOS (AD)
EHMT1	CHD (AD);EPI (AD);HART (AD);MR (AD);OMIM (AD)
EIF2AK3	DERM (AR);LENGTE (AR);MR (AR);OMIM (AR);PCS (AR)
EIF2AK4	OMIM (AR);PCS (AR)
EIF2B1	BEWEGING (AR);OMIM (AR);PCS (AR)
EIF2B2	BEWEGING (AR);OMIM (AR);PCS (AR)
EIF2B3	BEWEGING (AR);OMIM (AR);PCS (AR)
EIF2B4	BEWEGING (AR);OMIM (AR);PCS (AR)
EIF2B5	BEWEGING (AR);OMIM (AR);PCS (AR)
EIF2S3	MR (XL);OMIM (XLR)
EIF3F	MR (AR);OMIM (AR)
EIF4A3	CFA (AR);LENGTE (AR);MR (AR);OMIM (AR);PCS (AR)
ELAC2	MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
ELANE	BMF (AD);IMMUUN (AD);OMIM (AD);TUMOR (AD)
ELF4	IMMUUN (XL)
ELMO2	OMIM (AR)
ELMOD3	DOOF (AR);OMIM (AR);PCS (AR)
ELN	ANEURYSM (AD);CHD (AD);DERM (AD);HART (AD);OMIM (AD)
ELOVL1	BLIND (AD);DERM (AD);METAB (AD);OMIM (AD)
ELOVL4	BEWEGING (AD);BLIND (AD);DERM (AD/AR);METAB (AD);MR (AR);OMIM (AD,AR);PCS (AR)
ELOVL5	BEWEGING (AD);OMIM (AD)
ELP1	HMSN (AR);OMIM (AR);PCS (AR)
ELP2	MR (AR);OMIM (AR);PCS (AR)
ELP4	OMIM (AD)
EMC1	BLIND (AR);MR (AR);OMIM (AR);PCS (AR)
EMD	HART (XLR);OMIM (XLR);SPIER (XL)
EMG1	OMIM (AR);PCS (AR)
EMILIN1	ANEURYSM (AD);HART (AD)
EML1	MR (AR);OMIM (AR);PCS (AR)
EMP2	NIER (AR);OMIM (AR);PCS (AR)
EMX2	MR (AD);OMIM (UK,AD,AR,XL,YL)
ENAM	CFA (AD,AR);DERM (AR);OMIM (AD,AR);PCS (AR)
ENG	ANEURYSM (AD);DERM (AD);HEMOS (AD);OMIM (AD)
ENO3	METAB (AR);OMIM (AR);PCS (AR);SPIER (AD)
ENPP1	DERM (AR);HART (AR);LENGTE (AR,AD);NIER (AR);OMIM (AD,AR);PCS (AR)
ENTPD1	MR (AR);OMIM (AR);PCS (AR)
EOGT	LENGTE (AR);METAB (AR);OMIM (AR);PCS (AR)
EP300	ANEURYSM (AD);LENGTE (AD);MR (AD);OMIM (AD)
EPAS1	OMIM (UK,AD,AR,XL,YL)
EPB41	OMIM (AD,AR);PCS (AR)
EPB41L1	OMIM (AD)
EPB42	OMIM (UK,AD,AR,XL,YL);PCS (AR)
EPCAM	OMIM (AR);PCS (AR);TUMOR (AD)
EPG5	BLIND (AR);DERM (AR);IMMUUN (AR);MR (AR);OMIM (AR);PCS (AR)
EPHA2	BLIND (AD);OMIM (AD)
EPHB2	HEMOS (AR);OMIM (AR)
EPHB4	OMIM (AD)
EPHX1	LEVER (AR);METAB (AR);OMIM (AR);PCS (AR)
EPHX2	METAB (AR)
EPM2A	EPI (AR);OMIM (AR);PCS (AR)
EPO	OMIM (AD,AR);PCS (AR)
EPRS1	OMIM (AR);PCS (AR)
EPS8	DOOF (AR);OMIM (AR);PCS (AR)
EPS8L2	DOOF (AR);OMIM (AR);PCS (AR)
EPS8L3	DERM (AD)
ERAL1	DOOF (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
ERBB2	OMIM (UK,AD,AR,XL,YL)
ERBB3	AKI (AR);OMIM (AR);PCS (AR);SPIER (AR)
ERBB4	ALS (AD);OMIM (AD)
ERCC1	MR (AR);OMIM (AR);PCS (AR);TUMOR (AR)
ERCC2	DERM (AR);IMMUUN (AR);MR (AR);OMIM (AR);PCS (AR);TUMOR (AR)
ERCC3	DERM (AR);IMMUUN (AR);MR (AR);OMIM (AR);PCS (AR);TUMOR (AR)
ERCC4	BMF (AR);DERM (AR);OMIM (AR);PCS (AR);TUMOR (AR)
ERCC5	AKI (AR);DERM (AR);MR (AR);OMIM (AR);PCS (AR);TUMOR (AR)
ERCC6	AKI (AR);DERM (AD/AR);MR (AR);OMIM (AD,AR);PCS (AR);TUMOR (AR)
ERCC6L2	BMF (AR);OMIM (AR);PCS (AR)
ERCC8	DERM (AR);MR (AR);OMIM (AR);PCS (AR)
ERF	CFA (AD);LENGTE (AD);OMIM (AD)
ERG	ANEURYSM (AD)
ERGIC1	OMIM (AR);PCS (AR)
ERLIN1	OMIM (AR);PCS (AR)
ERLIN2	BEWEGING (AR);MR (AR);OMIM (AR);PCS (AR)
ERMARD	OMIM (AD)
ESCO2	LENGTE (AR);MR (AR);OMIM (AR);PCS (AR)
ESPN	DOOF (AD,AR);OMIM (AR);PCS (AR)
ESR1	OMIM (AR);PCS (AR)
ESR2	OMIM (AD);TUMOR (AD)
ESRP1	DOOF (AR);OMIM (AR);PCS (AR)
ESRRB	DOOF (AR);OMIM (AR);PCS (AR)
ETFA	METAB (AR);OMIM (AR);PCS (AR)
ETFB	METAB (AR);MR (AR);OMIM (AR);PCS (AR)
